E,J,e/f,State,v,Lambda,Sigma,L
49376.588155,17.5,f,2,5,0,0.5,8.0
50857.709163,17.5,f,2,6,0,0.5,8.0
37443.79163,17.5,e,2,0,0,-0.5,8.0
40177.659574,17.5,e,2,1,0,-0.5,8.0
42712.155399,17.5,e,2,2,0,-0.5,8.0
45037.021308,17.5,e,2,3,0,-0.5,8.0
47137.331767,17.5,e,2,4,0,-0.5,8.0
48983.01059,17.5,e,2,5,0,-0.5,8.0
50519.830813,17.5,e,2,6,0,-0.5,8.0
38007.803174,18.5,e,2,0,0,0.5,8.0
40711.812324,18.5,e,2,1,0,0.5,8.0
43215.643411,18.5,e,2,2,0,0.5,8.0
45508.787373,18.5,e,2,3,0,0.5,8.0
47573.632788,18.5,e,2,4,0,0.5,8.0
49379.057469,18.5,e,2,5,0,0.5,8.0
50860.187562,18.5,e,2,6,0,0.5,8.0
38593.628417,18.5,f,2,0,0,-0.5,8.0
41266.288983,18.5,f,2,1,0,-0.5,8.0
43737.80848,18.5,f,2,2,0,-0.5,8.0
45996.50694,18.5,f,2,3,0,-0.5,8.0
48024.577693,18.5,f,2,4,0,-0.5,8.0
49786.873499,18.5,f,2,5,0,-0.5,8.0
51209.034054,18.5,f,2,6,0,-0.5,8.0
39208.310854,19.5,f,2,0,0,0.5,8.0
41847.792973,19.5,f,2,1,0,0.5,8.0
44284.9929,19.5,f,2,2,0,0.5,8.0
46507.228619,19.5,f,2,3,0,0.5,8.0
48495.741854,19.5,f,2,4,0,0.5,8.0
50209.862837,19.5,f,2,5,0,0.5,8.0
38597.664284,19.5,e,2,0,0,-0.5,8.0
41270.154814,19.5,e,2,1,0,-0.5,8.0
43741.485749,19.5,e,2,2,0,-0.5,8.0
46000.10001,19.5,e,2,3,0,-0.5,8.0
48027.705641,19.5,e,2,4,0,-0.5,8.0
49789.655024,19.5,e,2,5,0,-0.5,8.0
51211.456225,19.5,e,2,6,0,-0.5,8.0
39212.522084,20.5,e,2,0,0,0.5,8.0
41851.824808,20.5,e,2,1,0,0.5,8.0
44288.84655,20.5,e,2,2,0,0.5,8.0
46511.006317,20.5,e,2,3,0,0.5,8.0
48498.919321,20.5,e,2,4,0,0.5,8.0
50212.464166,20.5,e,2,5,0,0.5,8.0
39847.104814,20.5,f,2,0,0,-0.5,8.0
42451.724488,20.5,f,2,1,0,-0.5,8.0
44852.740169,20.5,f,2,2,0,-0.5,8.0
47036.91593,20.5,f,2,3,0,-0.5,8.0
48982.500818,20.5,f,2,4,0,-0.5,8.0
50626.51349,20.5,f,2,5,0,-0.5,8.0
40509.084599,21.5,f,2,0,0,0.5,8.0
43077.143491,21.5,f,2,1,0,0.5,8.0
45440.159163,21.5,f,2,2,0,0.5,8.0
47579.237578,21.5,f,2,3,0,0.5,8.0
47583.796598,21.5,f,2,4,0,0.5,8.0
49483.691631,21.5,f,2,5,0,0.5,8.0
39851.486823,21.5,e,2,0,0,-0.5,8.0
42455.91933,21.5,e,2,1,0,-0.5,8.0
44856.768645,21.5,e,2,2,0,-0.5,8.0
47040.51058,21.5,e,2,3,0,-0.5,8.0
48985.632307,21.5,e,2,4,0,-0.5,8.0
50626.776978,21.5,e,2,5,0,-0.5,8.0
40513.632614,22.5,e,2,0,0,0.5,8.0
43081.495903,22.5,e,2,1,0,0.5,8.0
45444.3775,22.5,e,2,2,0,0.5,8.0
47587.857295,22.5,e,2,3,0,0.5,8.0
49486.659339,22.5,e,2,4,0,0.5,8.0
51085.849675,22.5,e,2,5,0,0.5,8.0
41193.288996,22.5,f,2,0,0,-0.5,8.0
43723.064087,22.5,f,2,1,0,-0.5,8.0
46045.836645,22.5,f,2,2,0,-0.5,8.0
48143.793444,22.5,f,2,3,0,-0.5,8.0
49997.997956,22.5,f,2,4,0,-0.5,8.0
41898.721769,23.5,f,2,0,0,0.5,8.0
44388.465012,23.5,f,2,1,0,0.5,8.0
46669.197592,23.5,f,2,2,0,0.5,8.0
48723.386662,23.5,f,2,3,0,0.5,8.0
50524.407469,23.5,f,2,4,0,0.5,8.0
41197.998055,23.5,e,2,0,0,-0.5,8.0
43727.567715,23.5,e,2,1,0,-0.5,8.0
46050.125839,23.5,e,2,2,0,-0.5,8.0
48145.933698,23.5,e,2,3,0,-0.5,8.0
48152.851763,23.5,e,2,4,0,-0.5,8.0
41903.586724,24.5,e,2,0,0,0.5,8.0
44393.112859,24.5,e,2,1,0,0.5,8.0
46673.601551,24.5,e,2,2,0,0.5,8.0
48728.16672,24.5,e,2,3,0,0.5,8.0
50525.874167,24.5,e,2,4,0,0.5,8.0
42624.351967,24.5,f,2,0,0,-0.5,8.0
45072.265468,24.5,f,2,1,0,-0.5,8.0
47308.794416,24.5,f,2,2,0,-0.5,8.0
49315.199259,24.5,f,2,3,0,-0.5,8.0
51047.869862,24.5,f,2,4,0,-0.5,8.0
43369.114013,25.5,f,2,0,0,0.5,8.0
45773.364919,25.5,f,2,1,0,0.5,8.0
47963.505476,25.5,f,2,2,0,0.5,8.0
49918.057865,25.5,f,2,3,0,0.5,8.0
42629.367483,25.5,e,2,0,0,-0.5,8.0
45077.059697,25.5,e,2,1,0,-0.5,8.0
47313.37865,25.5,e,2,2,0,-0.5,8.0
49319.369955,25.5,e,2,3,0,-0.5,8.0
51053.483123,25.5,e,2,4,0,-0.5,8.0
43374.274555,26.5,e,2,0,0,0.5,8.0
45778.280617,26.5,e,2,1,0,0.5,8.0
47968.100368,26.5,e,2,2,0,0.5,8.0
49922.434899,26.5,e,2,3,0,0.5,8.0
44131.907446,26.5,f,2,0,0,-0.5,8.0
46490.611639,26.5,f,2,1,0,-0.5,8.0
48632.08676,26.5,f,2,2,0,-0.5,8.0
50532.783163,26.5,f,2,3,0,-0.5,8.0
44911.596478,27.5,f,2,0,0,0.5,8.0
47222.766987,27.5,f,2,1,0,0.5,8.0
49312.866095,27.5,f,2,2,0,0.5,8.0
51150.104715,27.5,f,2,3,0,0.5,8.0
44137.207771,27.5,e,2,0,0,-0.5,8.0
46495.661426,27.5,e,2,1,0,-0.5,8.0
48636.986756,27.5,e,2,2,0,-0.5,8.0
50535.900273,27.5,e,2,3,0,-0.5,8.0
44917.03073,28.5,e,2,0,0,0.5,8.0
47227.948394,28.5,e,2,1,0,0.5,8.0
49317.655154,28.5,e,2,2,0,0.5,8.0
51148.986055,28.5,e,2,3,0,0.5,8.0
45707.009372,28.5,f,2,0,0,-0.5,8.0
47968.595356,28.5,f,2,1,0,-0.5,8.0
50005.181234,28.5,f,2,2,0,-0.5,8.0
46516.935573,29.5,f,2,0,0,0.5,8.0
48726.745248,29.5,f,2,1,0,0.5,8.0
50706.205965,29.5,f,2,2,0,0.5,8.0
45712.569705,29.5,e,2,0,0,-0.5,8.0
47973.872567,29.5,e,2,1,0,-0.5,8.0
50010.01738,29.5,e,2,2,0,-0.5,8.0
46522.616965,30.5,e,2,0,0,0.5,8.0
48732.159726,30.5,e,2,1,0,0.5,8.0
50711.317712,30.5,e,2,2,0,0.5,8.0
47340.124991,30.5,f,2,0,0,-0.5,8.0
49495.922366,30.5,f,2,1,0,-0.5,8.0
51414.885598,30.5,f,2,2,0,-0.5,8.0
48175.28238,31.5,f,2,0,0,0.5,8.0
50274.235003,31.5,f,2,1,0,0.5,8.0
47345.920608,31.5,e,2,0,0,-0.5,8.0
49501.471303,31.5,e,2,1,0,-0.5,8.0
51419.735778,31.5,e,2,2,0,-0.5,8.0
